track_id,title,artist,genre
TRAADYB128F92D7E73,The More I See You,Eliane Elias,"brazilian jazz, latin jazz, hard bop, jazz funk, vocal jazz"
TRAADYI128E078FB38,Certain Things We Do,Lost Boyz,"gangster rap, g funk, hip hop, east coast hip hop, rap"
TRAAEAM128F934B199,Forming,The Germs,"rock, punk, los angeles, grunge, southern rock"
TRAAEDJ12903CCE390,Mafuá,Yamandu Costa,"brazilian jazz, brazilian pop music, choro, jazz, brazilian"
TRAAEEH128E0795DFE,Driving Home For Christmas,Chris Rea,"soft rock, blues-rock, pop rock, country rock, singer-songwriter"
TRAAELO128F9302DD1,Spooks In Space,Perrey And Kingsley,"easy listening, jazz funk, space age pop, big beat, electronic"
TRAAEMJ128F425A917,Tous Les Garçons Et Les Filles,Eurythmics,"dance rock, new wave, synthpop, rock, pop"
TRAAENC128F1451DE9,Too Much Saturn,Francis Dunnery,"singer-songwriter, art rock, soundtrack, progressive rock, pop rock"
TRAAENP128F147BF32,Movement 4 [from Kiss] (Album Version),John Cale,"experimental rock, art rock, experimental, alternative, indie"
TRAAEOU128F9309DE0,Stream,Suzanne Ciani,"meditation, chill-out, downtempo, new age, easy listening"
TRAAERU128F930674F,Make Me Over,Vickie Winans,"ccm, soul jazz, hip hop, italian disco, trip hop"
TRAAEUB12903CDD3EA,Deform (live),The Berzerker,"speedcore, grindcore, gabba, death metal, breakcore"
TRAAEWG128F930B3A4,Wicker Chair,Kings Of Leon,"southern rock, alternative rock, rock, nashville, american trad rock"
TRAAEXM128F92D47C8,An ti chans',Edith Lefel,"zouk, merengue, kizomba, zouklove, reggae"
TRAAFEB128F92F8694,I Will Love Again (JJ's Club Radio),Taras,"trance, electronic, dance, house, techno"
TRAAFJW128F428A424,Stickin In My Eye,NOFX,"punk, rock, alternative punk rock, punk pop, skate punk"
TRAAFKJ12903D02552,Ota kiinni,Murskahumppa,"suomi rock, humppa, hardcore punk, finish, punk"
TRAAFMS128F933AB23,Entre Caníbales,Soda Stereo,"rock, latin pop, ska, reggae, rap"
TRAAFON128F42926FB,Rosemary Recalls,Bruce Rowland,"easy listening, chill-out, soundtrack, orchestra, classical"
TRAAFRU128F9339158,Sudanese Dance,Xcultures,"gabba, happy hardcore, world beat, chill-out, disco"
TRAAFSM128F425A2C5,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,"ccm, christian rock, contemporary christian, pop rock, hard rock"
TRAAFUJ128F933F42B,Wanna Be A Player,Heavy D / McGruff,"pop rap, hip hop, new jack swing, broken beat, europop"
TRAAFYL128E07856A7,Panama (Remastered Album Version),Van Halen,"heavy metal, hard rock, rock, album rock, soundtrack"
TRAHKLC12903CC632E,Let's Get It Started,Black Eyed Peas,"hip hop, rap, funk, r&b, pop"
TRAAGEC128E079252C,Metal,Nine Inch Nails,"industrial metal, alternative metal, industrial rock, alternative rock, rock"
TRAAGGE128F9325E2C,She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,"rock, alternative, soundtrack, guitar, piano"
TRAAGHM128EF35CF8E,Next Time,Nadine Renee,"freestyle, disco, hard house, dance pop, progressive trance"
TRARBGR128F42264D1,It's My Party,Lesley Gore,"brill building pop, oldies, ballad, soft rock, motown"
TRAAGKF128F932D5A2,Complicate It,Smartbomb,"melodic hardcore, post-grunge, hardcore punk, punk, hardcore"
TRAAGKQ128F92EAF39,Monde De Fou,Suburbs,"british pop, new romantic, chill-out, string quartet, power pop"
TRAAGKS128F9314884,Opus a Satana (Part 2),Emperor,"heavy metal, black metal, sympho black metal, hard trance, death metal"
TRAAGMJ12903CAD7D4,This Melody (Live),Julien Clerc,"chanson, ballad, pop, disco, blues-rock"
TRAAGNL128F4299BF1,I'm Gone This Time,Glen Campbell,"country rock, soft rock, pop rock, folk rock, ballad"
TRAAGOH128F42593CE,You Feel Good All Over,T.G. Sheppard,"country rock, rock, country, country pop, folk"
TRAAGPF12903CE027E,Indian Love Call,Slim Whitman,"folk-pop, country rock, pop rock, classic country, ballad"
TRAAGPH128F4273C8D,You Can Still Be Free,Savage Garden,"easy listening, pop, rock, adult contemporary, ballad"
TRAAGPJ128F428CD1B,I Never Came,Queens Of The Stone Age,"stoner metal, alternative metal, heavy metal, hard rock, rock"
TRAAGUA128F93236E8,Dixie,Hank Penny & The Lincoln Penny Orchestra,"western swing, classic country, jazz, country, folk"
TRALDWN128EF33FB6E,Commercial Reign,Inspiral Carpets,"indie rock, psychedelic rock, madchester, dance rock, rock"
TRAAGVM128E0784D95,Hourglass,Borialis,"rap rock, rapcore, funk metal, nu metal, hip hop"
TRAAGXN128F92DE52C,Wake,The Dirty Skirts,"indie rock, singer-songwriter, indie, sxsw 2007, south african"
TRAAGZU128EF360F47,Caricia Y Herida,Flor Silvestre,"ranchera, mexico, los angeles, folk, latin"
TRAAHDH128F93094B6,Le tortillard,Bézu,"chanson, bossa nova, black metal, pop, electronic"
TRAAHEG128E07861C3,WKYA (drop),Redman,"hip hop, rap, hardcore rap, east coast rap, funk"
TRAAHEH128F427FCEF,Teräslintu,Solistiyhtye Suomi,"german pop, humppa, polka, patriotic, folk"
TRAAHEQ128F93057B4,Now's The Time To Fall In Love,Eddie Cantor,"easy listening, vaudeville, ragtime, jazz, world music"
TRAAHER128F92E3FE9,Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,"breakcore, grindcore, breakbeat, digital hardcore, gabba"
TRAAHJX128F9312B83,Mangos,Kai Winding,"hard bop, bebop, latin jazz, jazz, funk"
TRAAHKE128F421389B,A Distant Voice,Sonny Simmons,"free jazz, jazz, los angeles, free music, free improvisation"
TRAAHMO128F92DE7C9,Openbare Weg,Mira,"shoegaze, dream pop, rock, dark wave, slow core"
TRAAHPZ12903CB4643,President Johnson,Citizen Kaned,"chill-out, dub, progressive trance, downtempo, electronic"
TRAAHRF128F92FE234,Lead Me Lord,The Brooklyn Tabernacle Choir,"gospel, black gospel, contemporary gospel, contemporary christian, christian"
TRAAHTH12903CCFFE1,Spontanous Combustion,Ellen McIlwaine,"blues-rock, jazz funk, latin jazz, country blues, future jazz"
TRAAHVY128F92E25D6,Choro,Vince Guaraldi / Bola Sete,"latin jazz, chamber jazz, soul jazz, jazz funk, jazz fusion"
TRAAHXN128F9326097,Ma Louise,Maurice Chevalier,"chanson, latin jazz, cabaret, ballad, jazz"
TRAAHYV128F932A425,I Want You (Forever),Carl Cox Vs Yousef,"tech house, progressive house, techno, electronica, acid house"
TRAAHZP12903CA25F4,Hate,Organized Konfusion,"hip hop, chill-out, east coast hip hop, jazz rap, trip hop"
TRAAIAE128F42AC53D,I Can't Stop Loving You,Martina McBride,"country, country music, pop, acoustic, contemporary country"
TRAAIAN12903CFF16D,Thank You Lord,Horace Andy,"roots reggae, lovers rock, dub, reggae, trip hop"
TRAAIAX128F930531B,How Can You Call That Beautiful (Stewkey Vocal),Nazz,"freakbeat, close harmony, garage rock, psychedelic rock, power pop"
TRAAIBB12903CECB35,Cheatin' In The Next Room,Tyrone Davis,"chicago soul, disco, southern soul, funk, northern soul"
TRAAIDY128F92CA454,Candy Man,Hot Tuna,"blues-rock, blues, folk rock, psychedelic rock, rock"
TRAAIFG12903CB0BCB,I See The Boys Of Summer,Richard Burton,"jazz fusion, jam band, improvisational, jazz, synthpop"
TRAAIGD12903CA2F3C,Three Is a Crowd,Rory Block,"delta blues, blues, ballad, country blues, folk rock"
TRAAIHL128F92E6DDA,On Bended Knee,Boyz II Men,"new jack swing, urban, soul, adult contemporary, ballad"
TRAAIIE128F4288BB1,My Four Reasons,Howard Armstrong,"piedmont blues, country blues, blues, folk, tin pan alley"
TRAAIII128F427D5D8,Little Girl (LP Version),Donny Hathaway,"jazz funk, soul jazz, bossa nova, funk, chicago soul"
TRAAILM128F93480BB,Eternamente Amame,Miguel Gallardo,"male vocalist, latin pop, mexico, latin, los angeles"
TRAAINT128F933BBE0,Niev nietch nievitch,Les Ogres De Barback,"chanson, gypsy jazz, chill-out, musette, ska"
TRAAIRG128F93265E8,Come Over,DJ X-Change featuring DJ Joey A,ghetto tech
TRAAIXN128F428027A,Blue Taxi,Morel,"dance pop, tech house, progressive house, progressive trance, electronic"
TRAAIXU128F4241E5C,I Want Love (Tween You & Me) (Album Version),Tony Joe White,"country rock, blues-rock, swamp pop, southern rock, outlaw country"
TRAGRRP12903CD2911,White Feather,Wolfmother,"stoner metal, alternative metal, heavy metal, hard rock, rock"
TRAAJAC128F148B530,Christlike Roche,The Roches,"singer-songwriter, folk-pop, close harmony, folk rock, contemporary folk"
TRAAJBU128F9326C02,You Rascal You,Bob Margolin,"blues-rock, chicago blues, massachusetts, blues, classic rock"
TRAAJBU12903CE2831,Sympathy,Thomas Battenstein,guitar
TRAAJEK128F422F55A,They Say (Album),Jupiter Rising,"pop rap, electropop, hip hop, downtempo, urban"
TRAAJEK12903CE351A,Simon's Folly,Dharma Bums,"progressive house, breakbeat, hard trance, techno, trance"
TRAAJJA12903CC518A,Crawl Before You Ball (Album Version),Saafir,"hip hop, hardcore hip hop, rap, underground hip hop, underground rap"
TRAAJJG128F4284B27,Medicate Myself,The Verve Pipe,"post-grunge, pop rock, indie rock, modern rock, british pop"
TRAAJJV128F42A2F99,Biding Her Time,Bob Neuwirth,"singer-songwriter, oldies, blues, world fusion, folk"
TRAAJMH128E0785407,More And More  (LP Version),Marvin Sapp,"gospel, male vocalist, r&b, christian, urban"
TRAAJNM12903CF4750,Cowboy Ways,James Hunter,"blue-eyed soul, jazz funk, smooth jazz, blues-rock, r&b"
TRAAJSX128F4275A1D,Brasas Vivas,Nelson Ned,"latin jazz, mariachi, brazilian pop music, karaoke, thrash metal"
TRAAJVJ128F42570AD,Kolomeyke,Mish Mash,"vocal house, hard house, funky house, progressive house, club"
TRAAJXQ128F92E65BF,In This Life,Cama,"los angeles, pop rock, reggae, frevo, cumbia"
TRAAJYX128F4255568,Groovin' In The Midnight,Maxi Priest,"lovers rock, pop rap, reggae, hip hop, dancehall"
TRAAKAS128F4246013,Waiting,Porcupine Tree,"experimental rock, art rock, post rock, experimental, ambient"
TRAAKAV128F931BE25,A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,"arabesque, flamenco, samba, deep house, disco"
TRAAKDF128F92FA302,Hell,Foo Fighters,"grunge, alternative rock, hard rock, rock, seattle"
TRAAKDG128F42A0ECB,Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,"dance pop, pop, latin, urban, adult contemporary"
TRAAKJJ128F4228346,Juoksuhauta-twist (Elämä juoksuhaudoissa),The Avengers,"rock, garage rock, punk, new wave, hardcore punk"
TRAAKNS12903CC5198,I Got Over It (Album Version),Robben Ford,"blues-rock, jazz blues, soul blues, latin jazz, blues"
TRAAKQS128F4224DE1,One Less Bell To Answer,Brazilian Tropical Orchestra,"bossa nova, orchestra, latin jazz, easy listening, disco"
TRAAKSB128F934D73A,Festa,Gil Semedo,"zouk, kizomba, island music, zouklove, r&b"
TRAAKTK128F9343DCC,Te Hacen Falta Vitaminas,Soda Stereo,"rock, latin pop, ska, reggae, rap"
TRAAKVA128F934E69E,Sense And Trick,Xmilk,"thrash core, hardcore punk, punk, hardcore, old school"
TRAAKVD12903CE8474,Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,"folk-pop, folk, female vocalist, rock, acoustic"
TRAAKVZ12903D074BB,Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,"ccm, pop rock, soft rock, christian music, grindcore"
TRAAKXN128F92E71B1,Grim Prospects (Version 2 Remix),Schizoid,"breakcore, grindcore, breakbeat, digital hardcore, gabba"
TRAALCM128F4264370,Christmas In Jamaica,Toni Braxton Featuring Shaggy,"dance pop, rock, urban, adult contemporary, club"
TRAALDU128F930D56B,Gossippo Perpetuo,Perrey And Kingsley,"easy listening, dubstep, jazz funk, big beat, space age pop"
TRAALEO128F42A7AEA,2190 Dias Contigo,Sven Tasnadi,"tech house, deep house, techno, broken beat, italian disco"
TRAALHD12903D0BD6A,No Control,Eddie,"frevo, samba, banda, rockabilly, bossa nova"
TRAALNG12903D014E9,The Vitalized Shell,Enthroned,"black metal, heavy metal, rock, blackened death metal, extreme metal"
TRAALRZ128F429024E,Mozart,Suzanne Ciani,"meditation, chill-out, downtempo, new age, easy listening"
TRAALSV128F4282B9B,Ciao Milan,Milan Band,"serialism, contemporary classical music, minimal"
TRAALUX12903CFD50B,Lend Me Your Chopper,Johnny Osbourne,"roots reggae, dancehall, reggae, lovers rock, dub"
TRAALZC128F92E11A6,Letter To Heaven,Dolly Parton,"bluegrass, singer-songwriter, female vocalist, country, pop"
TRAALZN128F932D457,Heaven is Where The Heart Is,Rance Allen Group,"jazz funk, soul jazz, funk, disco, latin jazz"
TRAAMES128F42AF068,Inside Job,Pearl Jam,"grunge, hard rock, rock, alternative rock, alternative"
TRAAMFG128F92FDEA2,Take A Look  (LP Version),Natalie Cole,"vocal jazz, quiet storm, jazz, pop, rock"
TRAAMFT128F93128AD,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,"alternative metal, power metal, post-hardcore, progressive metal, heavy metal"
TRAAMGJ12903CD315C,Bulgarian Dream,Kiril Valeri,"flamenco, rumba, ska punk, folk rock, pop rock"
TRAAMII128F933B583,Amalgama,Word,"blues-rock, jazz blues, downtempo, easy listening, intelligent dance music"
TRAAMJY128F92F5919,Born and Raised In Compton,DJ Quik,"gangster rap, hip hop, g funk, broken beat, trip hop"
TRAAMKI128F428537A,We're Gonna Go Fishin',Hank Locklin,"honky tonk, country rock, ballad, chanson, classic country"
TRAAMKL128F9347D8A,Robbers Kill Cop,BT,"electronica, rock, ambient, alternative, club"
TRAAMKP12903CC74F4,Relax,2-4 Grooves feat. Reki D.,"vocal house, disco house, club, eurodance, electro"
TRAAMKW128F4249CF0,Sweet By And By,The Jordanaires,"country gospel, classic country, rockabilly, oldies, christmas music"
TRAAMPA128F92E7D0D,Orgofart,Descendents,"hardcore punk, rock, punk, progressive, los angeles"
TRAAMSO128EF348DCC,Bitch Is Back,L.A. Guns,"heavy metal, hard rock, glam rock, glam metal, rock"
TRAAMXP128F4264F6A,Naked Albino,Bare Jr.,"post-grunge, alternative country, hard rock, male vocalist, alternative rock"
TRAAMYQ128F148B753,Johnny Loves Me (LP Version),Shelley Fabares,"brill building pop, all-female, pop rock, country rock, blue-eyed soul"
TRAAMZB12903CAB002,Dearly Beloved,Norrie Paramor,"easy listening, pop, classical, jazz, rock"
TRAAMZR128F9315DCC,The Look Of Love,Gary Hobbs,"tejano, latin pop, classic, jazz, singer"
TRAANBH128F9345A6C,Cooler Than You,Diesel Boy,"pop rock, pop punk, rock, punk, skate punk"
TRAANKK128F42531BC,Taryns Deepest Fear,Angelo Badalamenti,"chill-out, soundtrack, symphony, neoclassical, dark ambient"
TRAANLO128F422AE37,Summer Dying Fast,Cradle Of Filth,"sympho black metal, black metal, heavy metal, death metal, metal"
TRAANLZ128F934EC42,Still,Jim Chappell,"chamber jazz, smooth jazz, chill-out, new age, easy listening"
TRAANMF12903CEAFEF,Snapshot,Ladybug,"dancehall, italian disco, dubstep, breakbeat, dub"
TRAANRI12903CD0A9C,End Of The Road (Head Hornys Remix),Bandido,"hard house, hard trance, italian disco, eurodance, breakbeat"
TRAANTD128F9323B23,7 Miles,Brixx,"rap, hip hop, pop, german, freestyle"
TRAANTZ128E0792529,The Frail,Nine Inch Nails,"industrial metal, alternative metal, industrial rock, alternative rock, rock"
TRAAODT12903D0D16E,Para Milladoiro,Susana Seivane,"gaita, celtic, folk, traditional, instrumental"
TRAAOEH128F426A82F,Stone Cold Fingers (Bonus Track),Leland Martin,"honky tonk, massachusetts, country, traditional country, electronic"
TRAAOIN128F9303790,Snowball,Test Icicles,"grime, indie rock, garage rock, dance-punk, electro"
TRAAOJI128F1458DCD,(We Don't Need This) Fascist Groove Thang,Heaven 17,"new romantic, dance rock, italian disco, new wave, electronic"
TRAAOPW128F428AE31,Drunk Alone,React,"happy hardcore, europop, progressive house, neo soul, kraut rock"
TRAAORY128F934984F,Charisma,Sven Tasnadi,"tech house, deep house, techno, broken beat, italian disco"
TRAAOTD128F42322FC,Going Down Slow,Mance Lipscomb,"texas blues, country blues, blues, delta blues, blues-rock"
TRAAOTT128F14AE002,All Rise,Scott Wesley Brown,"modern rock, rock, inspirational, gospel, christian"
TRAAOTT128F9342E04,Jogo Limpo,Flávio José,"brazil, forro, gaita, north east, world reggae"
TRAAOXM12903CFB3B0,Silent Hill,Moss,"future jazz, trip hop, downtempo, acid jazz, drone doom metal"
TRAAOYG128F9314996,Our Love Is Here To Stay,Pery Ribeiro,"bossa nova, brazilian pop music, samba, latin, jazz"
TRAAPCC128F42519A7,Everything Changes,Soular,"breakbeat, broken beat, funk rock, post rock, shoegaze"
TRAAPFQ128F42684DB,Master Of Disharmony,Dimmu Borgir,"black metal, death metal, heavy metal, metal, extreme metal"
TRAAPGF128F1458F8B,(This Is Not A) Love Song (Live),Public Image Ltd,"dance rock, alternative dance, experimental rock, noise rock, madchester"
TRAAPIV128F1493132,What Are We Here For,Gary Moore,"blues-rock, hard rock, pop rock, soft rock, blues"
TRAAPLS12903CB2D40,Une petite pause,Pascal Sangla,french pop
TRAAPPQ128F14961F5,Wig,The B-52's,"dance rock, jangle pop, dance pop, new wave, pop rock"
TRAAPQQ128F427C750,Perasmena Mesanihta,Dakis,greek
TRAAPSQ12903CAE86A,God Save the Queen (Live),Sex Pistols,"punk, italy, british punk rock, soundtrack, progressive rock"
TRARZKD128F425D64D,Forever,Chris Brown,"r&b, hip hop, rap, urban, blues"
TRAAPWD128F931ACD4,Sun Is Shining,Deekline & Wizard,"breakbeat, uk garage, electro, nu breaks, grime"
TRAAPXK128F934DF25,New Age,Daniela Dessì,"opera, los angeles, requiem"
TRAAQBF12903CF796B,Have Yourself A Merry Little Christmas,Hem,"folk-pop, easy listening, alternative country, countrypolitan, folk"
TRAAQCK128F92E8C33,U Killed It,Lily Allen,"ska, pop, england, london, electropop"
TRAAQDJ128F92F95E0,Rain And Snow,Pentangle,"british invasion, chill-out, celtic rock, folk rock, celtic"
TRAAQDL12903CA8FB5,Gerra De De,DJ Dips,"turnablism, folk, dj"
TRAAQEV12903CB5459,Kako mi je pitas sad,Ana Bekuta,"pop folk, turbo folk, disco, serbia, folk"
TRAAQFC128F425ED83,Voices On The Corner,Jason Miles,"jazz fusion, hard bop, smooth jazz, meditation, instrumental pop"
TRAAQIH128F428BDEA,(Bloody Paw On The) Kill Floor,Busdriver,"alternative hip hop, turnablism, underground rap, indie rock, trip hop"
TRAAQLE128F424AE71,I Wish My Mother Was Here,Byther Smith,"chicago blues, electric blues, delta blues, blues-rock, blues"
TRAAQLJ128F428E870,Inolvidable,Bebo & Cigala,"latin jazz, flamenco, bolero, bossa nova, world music"
TRAAQOH128F4265CE6,Miracle,Bizarre Inc,"breakbeat, pop rap, techno, deep house, progressive house"
TRAAQPS128F429161D,Witch Weed (Live),Bongzilla,"stoner metal, sludge metal, doom metal, heavy metal, stoner rock"
TRAAQUC128F9322A82,Not Buried Deep Enough,The Gone Jackals,"blues-rock, video game music, heavy metal, grindcore, hard rock"
TRAAQUF12903CDF4A4,Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,"western swing, bluegrass, traditional country, country, classic"
TRAAQWF128F92D1AAD,Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,"latin jazz, brazilian jazz, bossa nova, samba, tango"
TRAAQYN128F92ED77E,The Cube (Live),S.U.P,"doom metal, progressive metal, death metal, heavy metal, metal"
TRAAQYU12903CE68CE,Get Back Down,Boogie Pimps,"hard house, progressive house, hard trance, trance, tech house"
TRAAQZF12903CEDCB8,Battle Of The Rosebud / Cries,Brian Keane,"world beat, smooth jazz, world music, country, folk"
TRAAQZQ128EF35C51A,Beyond the Light,Aberdeen,"twee pop, pop rock, indie rock, rock, indie pop"
TRAARHS128F931689D,Spaceman,The Killers,"rock, alternative, rave, disco, new wave"
TRAARRG12903CDB456,Pulecenella 'e mò,Gloriana,"teen pop, country rock, country music, female vocalist, country"
TRAARSF12903CD1B12,Iskorosten' (instr.),Butterfly Temple,"doom metal, viking metal, folk metal, death metal, heavy metal"
TRAARUN128F932B1A0,Big Stax/High Volts (Album Version),Grant Geissman,"smooth jazz, jazz fusion, instrumental pop, hard bop, jazz"
TRAASDM12903CD474E,It Goes On,20/20,"power pop, pop rock, new wave, rock, hip hop"
TRAASEO128F9337C48,Pecado De Amor,José Augusto,"latin pop, brazilian, male vocalist, rock, pop"
TRAASFP128F42980BD,Illuminate,Orbital,"techno, intelligent dance music, electronica, ambient, england"
TRAASGM128EF34DBB0,Never Forget Me,Bone Thugs-N-Harmony / Akon,"gangster rap, rap, hardcore rap, west coast rap, cleveland"
TRAASIG128F92C3A6B,Ukkosenjumalan poika,Moonsorrow,"viking metal, sympho black metal, doom metal, tech house, black metal"
TRAASKO128F427CE1C,A B***** Is A B***** (Edited),N.W.A.,"gangster rap, rap, hardcore rap, west coast rap, los angeles"
TRAASKQ128F4265E04,Kick Out The Jams,Rage Against The Machine,"rap metal, alternative metal, heavy metal, rap, rock"
TRAASOD128F428154C,Me And My Buddy,Jazz Gillum,"chicago blues, country blues, harmonica blues, blues, slide"
TRAASQC128F93480F0,Amber Changing,Rise Against,"hardcore punk, rock, punk, hardcore, punk revival"
TRAASSO12903CDD2FF,Murder Academy,Ultraviolence,"gabba, happy hardcore, hardcore techno, hard trance, techno"
TRAASUZ128F9314950,Hey Daddy,Korn,"rap metal, alternative metal, heavy metal, rock, metal"
TRAASYO128F4263883,4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,"requiem, concerto, symphony, opera, orchestra"
TRAASZE128F93499AE,I Need You Now,Agnes,"europop, tech house, christian rock, electropop, heavy metal"
